latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
29.76843,32.21151,301.09,0.5,0.66,2023-10-17,26,1,VIIRS,n,2.0NRT,289.08,0.63,N
29.78713,28.55362,317.44,0.61,0.53,2023-10-17,26,1,VIIRS,n,2.0NRT,288.96,2.55,N
29.78755,28.55869,310.43,0.61,0.53,2023-10-17,26,1,VIIRS,n,2.0NRT,288.75,1.61,N
29.80471,32.08651,312.39,0.49,0.65,2023-10-17,26,1,VIIRS,n,2.0NRT,289.51,2.03,N
29.80614,32.08897,314.17,0.49,0.65,2023-10-17,26,1,VIIRS,n,2.0NRT,290.38,1.87,N
29.82118,31.30676,301.74,0.44,0.62,2023-10-17,26,1,VIIRS,n,2.0NRT,291.15,0.49,N
29.84525,27.69235,299.33,0.54,0.51,2023-10-17,26,1,VIIRS,n,2.0NRT,288.81,0.46,N
29.85004,27.94761,310.46,0.56,0.51,2023-10-17,26,1,VIIRS,n,2.0NRT,289.12,2.38,N
30.02202,29.93578,298.41,0.36,0.58,2023-10-17,26,1,VIIRS,n,2.0NRT,286.9,0.31,N
30.22564,32.60764,299.81,0.51,0.66,2023-10-17,26,1,VIIRS,n,2.0NRT,287.16,0.82,N
30.22823,32.60477,297.27,0.51,0.66,2023-10-17,26,1,VIIRS,n,2.0NRT,286.94,0.48,N
30.30649,26.04165,307.76,0.43,0.46,2023-10-17,26,1,VIIRS,n,2.0NRT,286.94,0.64,N
30.36863,27.22793,318.86,0.49,0.49,2023-10-17,26,1,VIIRS,n,2.0NRT,285.8,1.32,N
30.37873,30.56349,305.38,0.39,0.59,2023-10-17,26,1,VIIRS,n,2.0NRT,291.55,0.94,N
30.53205,26.08942,300.29,0.42,0.45,2023-10-17,26,1,VIIRS,n,2.0NRT,288.77,0.82,N
30.53376,26.09107,303.42,0.42,0.45,2023-10-17,26,1,VIIRS,n,2.0NRT,287.9,0.45,N
30.53387,26.08082,322.68,0.42,0.45,2023-10-17,26,1,VIIRS,n,2.0NRT,288.91,2.33,N
30.53552,26.08244,322.51,0.42,0.45,2023-10-17,26,1,VIIRS,n,2.0NRT,289.71,1.51,N
30.5398,28.4918,319.18,0.58,0.52,2023-10-17,26,1,VIIRS,n,2.0NRT,289.53,3.09,N
30.62755,26.94409,298.81,0.47,0.48,2023-10-17,26,1,VIIRS,n,2.0NRT,286.54,0.55,N
30.67079,26.36704,305.08,0.44,0.46,2023-10-17,26,1,VIIRS,n,2.0NRT,287.48,0.89,N
30.70061,33.8507,314.64,0.59,0.7,2023-10-17,26,1,VIIRS,n,2.0NRT,289.34,3.64,N
30.702,27.72164,301.76,0.52,0.5,2023-10-17,26,1,VIIRS,n,2.0NRT,288.03,1.05,N
30.70225,33.84475,299.32,0.59,0.7,2023-10-17,26,1,VIIRS,n,2.0NRT,287.03,2.45,N
30.70605,31.28838,319.05,0.42,0.61,2023-10-17,26,1,VIIRS,n,2.0NRT,289.28,1.28,N
30.7074,26.97945,303.68,0.47,0.48,2023-10-17,26,1,VIIRS,n,2.0NRT,288.25,0.5,N
30.76474,30.63306,299.75,0.38,0.59,2023-10-17,26,1,VIIRS,n,2.0NRT,288.19,0.59,N
30.7719,27.10681,315.17,0.48,0.48,2023-10-17,26,1,VIIRS,n,2.0NRT,289.49,1.71,N
30.77296,27.10196,309.22,0.48,0.48,2023-10-17,26,1,VIIRS,n,2.0NRT,288.16,1.4,N
30.81444,27.31294,306.58,0.49,0.49,2023-10-17,26,1,VIIRS,n,2.0NRT,287.32,0.59,N
30.81866,27.27191,306.78,0.49,0.48,2023-10-17,26,1,VIIRS,n,2.0NRT,288.62,0.86,N
30.82073,29.19424,307.62,0.63,0.54,2023-10-17,26,1,VIIRS,n,2.0NRT,289.38,2.01,N
30.82598,26.4685,313.81,0.44,0.46,2023-10-17,26,1,VIIRS,n,2.0NRT,288.45,0.72,N
30.84144,28.66734,306.05,0.58,0.52,2023-10-17,26,1,VIIRS,n,2.0NRT,287.99,1.77,N
30.84154,28.6656,311.96,0.59,0.52,2023-10-17,26,1,VIIRS,n,2.0NRT,287.67,1.12,N
30.8557,26.6205,320.65,0.45,0.47,2023-10-17,26,1,VIIRS,n,2.0NRT,288.49,2.16,N
30.86263,27.59912,308.87,0.51,0.49,2023-10-17,26,1,VIIRS,n,2.0NRT,287.87,1.27,N
30.86439,27.60216,306.95,0.51,0.49,2023-10-17,26,1,VIIRS,n,2.0NRT,288.04,1.81,N
30.87977,29.45969,300.87,0.32,0.55,2023-10-17,26,1,VIIRS,n,2.0NRT,289.09,0.92,N
30.99514,29.84124,301.28,0.34,0.56,2023-10-17,26,1,VIIRS,n,2.0NRT,288.11,0.63,N
31.0269,29.75227,313.22,0.34,0.56,2023-10-17,26,1,VIIRS,n,2.0NRT,291.03,1.52,N
31.03102,29.75736,327.14,0.34,0.56,2023-10-17,26,1,VIIRS,n,2.0NRT,290.31,2.59,N
31.03183,29.75397,337.81,0.34,0.56,2023-10-17,26,1,VIIRS,n,2.0NRT,290.17,2.59,N
31.12314,29.81361,333.61,0.34,0.56,2023-10-17,26,1,VIIRS,n,2.0NRT,291.44,3.29,N
31.12395,29.8102,308.32,0.34,0.56,2023-10-17,26,1,VIIRS,n,2.0NRT,289.82,2.99,N
31.14232,29.83819,303.1,0.34,0.56,2023-10-17,26,1,VIIRS,n,2.0NRT,290.21,0.96,N
31.14398,29.85346,305.76,0.34,0.56,2023-10-17,26,1,VIIRS,n,2.0NRT,288.11,0.46,N
31.31069,31.04318,302.54,0.39,0.59,2023-10-17,26,1,VIIRS,n,2.0NRT,289,0.66,N
31.32376,32.14396,303.78,0.45,0.63,2023-10-17,26,1,VIIRS,n,2.0NRT,289.89,0.3,N
31.32493,32.13937,301.71,0.45,0.63,2023-10-17,26,1,VIIRS,n,2.0NRT,289.68,0.3,N
31.32673,32.13867,304.85,0.45,0.63,2023-10-17,26,1,VIIRS,n,2.0NRT,289.71,0.41,N
31.35114,30.3175,301.72,0.36,0.57,2023-10-17,26,1,VIIRS,n,2.0NRT,288.66,0.99,N
31.35201,30.31388,305.34,0.35,0.57,2023-10-17,26,1,VIIRS,n,2.0NRT,286.24,0.58,N
31.35324,30.31482,318.7,0.35,0.57,2023-10-17,26,1,VIIRS,n,2.0NRT,288.34,1.25,N
31.71433,20.24299,299.22,0.38,0.36,2023-10-17,26,1,VIIRS,n,2.0NRT,288.41,0.5,N
31.88332,35.18219,295.15,0.65,0.73,2023-10-17,26,1,VIIRS,n,2.0NRT,283.94,0.63,N
31.88983,35.18421,297.96,0.65,0.73,2023-10-17,26,1,VIIRS,n,2.0NRT,284.05,0.63,N
31.91751,34.89246,300.04,0.63,0.72,2023-10-17,26,1,VIIRS,n,2.0NRT,287.83,1.33,N
32.00784,20.13316,305.22,0.38,0.36,2023-10-17,26,1,VIIRS,n,2.0NRT,291.64,0.58,N
32.12617,36.10727,296.15,0.72,0.76,2023-10-17,26,1,VIIRS,n,2.0NRT,285.88,1.06,N
32.20245,20.13097,328.82,0.38,0.36,2023-10-17,26,1,VIIRS,n,2.0NRT,293.77,2.91,N
32.32229,15.22123,304.91,0.52,0.42,2023-10-17,26,1,VIIRS,n,2.0NRT,290.97,0.95,N
32.33117,15.24535,312.73,0.52,0.42,2023-10-17,26,1,VIIRS,n,2.0NRT,291.88,1.67,N
32.38471,14.49821,304.41,0.57,0.43,2023-10-17,26,1,VIIRS,n,2.0NRT,291.45,1.58,N
32.42541,14.48072,303.91,0.57,0.43,2023-10-17,26,1,VIIRS,n,2.0NRT,291.15,0.8,N
32.52113,14.32395,305.41,0.39,0.44,2023-10-17,26,1,VIIRS,n,2.0NRT,291,0.66,N
32.60062,13.34661,311.12,0.44,0.46,2023-10-17,26,1,VIIRS,n,2.0NRT,291.92,2.78,N
32.60111,13.34189,327.78,0.44,0.46,2023-10-17,26,1,VIIRS,n,2.0NRT,291.15,2.78,N
32.61673,22.72553,321.47,0.42,0.38,2023-10-17,26,1,VIIRS,n,2.0NRT,291.44,2.65,N
32.63475,14.22241,301.01,0.4,0.44,2023-10-17,26,1,VIIRS,n,2.0NRT,290.56,0.55,N
32.63522,14.2212,304.16,0.4,0.44,2023-10-17,26,1,VIIRS,n,2.0NRT,290.43,0.57,N
32.79436,12.69617,322.32,0.48,0.48,2023-10-17,26,1,VIIRS,n,2.0NRT,293.55,3.1,N
32.79506,12.69945,306.52,0.48,0.48,2023-10-17,26,1,VIIRS,n,2.0NRT,294.15,1.97,N
32.79557,12.69428,309.98,0.48,0.48,2023-10-17,26,1,VIIRS,n,2.0NRT,294.01,1.97,N
32.85515,12.22819,308.73,0.51,0.5,2023-10-17,26,1,VIIRS,n,2.0NRT,288.25,0.88,N
33.36681,8.54593,311.07,0.43,0.62,2023-10-17,26,1,VIIRS,n,2.0NRT,285.31,1.19,N
33.86127,12.05636,332.15,0.54,0.51,2023-10-17,26,1,VIIRS,n,2.0NRT,296.7,2.59,N
33.89208,12.60038,326.39,0.5,0.49,2023-10-17,26,1,VIIRS,n,2.0NRT,295.61,1.18,N
33.8966,12.60099,309.24,0.5,0.49,2023-10-17,26,1,VIIRS,n,2.0NRT,296.01,1.18,N
33.92176,12.67601,340.54,0.5,0.49,2023-10-17,26,1,VIIRS,n,2.0NRT,297.03,5.14,N
